model_type,pool_index,layer,position,metric,control,score,num_prompts
trained,1,2,5,beta_r2,actual,0.6612294912338257,128
trained,1,2,5,beta_r2,shuffled,-0.28827396035194397,128
trained,1,2,5,component_accuracy,actual,0.96875,128
trained,1,2,5,component_accuracy,shuffled,0.5078125,128
trained,1,2,10,beta_r2,actual,0.6867469549179077,128
trained,1,2,10,beta_r2,shuffled,-0.15314249694347382,128
trained,1,2,10,component_accuracy,actual,0.9375,128
trained,1,2,10,component_accuracy,shuffled,0.5234375,128
trained,1,2,20,beta_r2,actual,0.7172232270240784,128
trained,1,2,20,beta_r2,shuffled,-0.16474942862987518,128
trained,1,2,20,component_accuracy,actual,0.9453125,128
trained,1,2,20,component_accuracy,shuffled,0.5390625,128
trained,1,2,30,beta_r2,actual,0.7442224621772766,128
trained,1,2,30,beta_r2,shuffled,-0.19441117346286774,128
trained,1,2,30,component_accuracy,actual,0.953125,128
trained,1,2,30,component_accuracy,shuffled,0.46875,128
trained,1,2,40,beta_r2,actual,0.7215932011604309,128
trained,1,2,40,beta_r2,shuffled,-0.1901097446680069,128
trained,1,2,40,component_accuracy,actual,0.9609375,128
trained,1,2,40,component_accuracy,shuffled,0.59375,128
trained,1,2,49,beta_r2,actual,0.7623382210731506,128
trained,1,2,49,beta_r2,shuffled,-0.09590611606836319,128
trained,1,2,49,component_accuracy,actual,0.9921875,128
trained,1,2,49,component_accuracy,shuffled,0.5234375,128
trained,1,3,5,beta_r2,actual,0.7597663998603821,128
trained,1,3,5,beta_r2,shuffled,-0.5288110971450806,128
trained,1,3,5,component_accuracy,actual,0.9921875,128
trained,1,3,5,component_accuracy,shuffled,0.5,128
trained,1,3,10,beta_r2,actual,0.7859233617782593,128
trained,1,3,10,beta_r2,shuffled,-0.3290277421474457,128
trained,1,3,10,component_accuracy,actual,0.9765625,128
trained,1,3,10,component_accuracy,shuffled,0.5,128
trained,1,3,20,beta_r2,actual,0.8461621999740601,128
trained,1,3,20,beta_r2,shuffled,-0.03909769281744957,128
trained,1,3,20,component_accuracy,actual,0.984375,128
trained,1,3,20,component_accuracy,shuffled,0.4609375,128
trained,1,3,30,beta_r2,actual,0.8511726260185242,128
trained,1,3,30,beta_r2,shuffled,-0.34614935517311096,128
trained,1,3,30,component_accuracy,actual,0.984375,128
trained,1,3,30,component_accuracy,shuffled,0.46875,128
trained,1,3,40,beta_r2,actual,0.8531250357627869,128
trained,1,3,40,beta_r2,shuffled,-0.2978697419166565,128
trained,1,3,40,component_accuracy,actual,0.96875,128
trained,1,3,40,component_accuracy,shuffled,0.5078125,128
trained,1,3,49,beta_r2,actual,0.8720635175704956,128
trained,1,3,49,beta_r2,shuffled,-0.09167446941137314,128
trained,1,3,49,component_accuracy,actual,1.0,128
trained,1,3,49,component_accuracy,shuffled,0.4921875,128
trained,1,4,5,beta_r2,actual,0.8485674262046814,128
trained,1,4,5,beta_r2,shuffled,-0.32216066122055054,128
trained,1,4,5,component_accuracy,actual,0.96875,128
trained,1,4,5,component_accuracy,shuffled,0.46875,128
trained,1,4,10,beta_r2,actual,0.9419736862182617,128
trained,1,4,10,beta_r2,shuffled,-0.39138689637184143,128
trained,1,4,10,component_accuracy,actual,0.984375,128
trained,1,4,10,component_accuracy,shuffled,0.484375,128
trained,1,4,20,beta_r2,actual,0.9314303994178772,128
trained,1,4,20,beta_r2,shuffled,-0.31029725074768066,128
